,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
101,1301852.0,Iranduba,13.0,AM,441.14670329670327,346.3094527363184,391.0044776119403,430.39505494505494,355.82089552238807
102,1301902.0,Itacoatiara,13.0,AM,459.73216374269003,479.7209809264305,485.1149863760218,471.340350877193,518.5286103542235
103,1301951.0,Itamarati,13.0,AM,425.34444444444443,456.3837837837838,449.5432432432432,424.7555555555556,468.64864864864865
104,1302009.0,Itapiranga,13.0,AM,436.86304347826086,464.7791666666667,459.72499999999997,473.5739130434783,530.0
105,1302108.0,Japurá,13.0,AM,448.0315789473684,422.95714285714286,426.4380952380953,395.1684210526316,381.9047619047619
106,1302207.0,Juruá,13.0,AM,414.4269230769231,425.4851851851852,442.71111111111117,402.5192307692308,327.4074074074074
107,1302306.0,Jutaí,13.0,AM,447.21818181818185,443.784375,462.1375,436.3878787878788,443.125
108,1302405.0,Lábrea,13.0,AM,433.72058823529414,449.34086956521736,461.2226086956522,440.1441176470588,506.0869565217391
109,1302504.0,Manacapuru,13.0,AM,442.5806179775281,463.63699421965316,472.3947976878613,454.8589887640449,484.73988439306356
110,1302553.0,Manaquiri,13.0,AM,447.29756097560977,450.7925,452.95250000000004,433.9634146341463,494.5
111,1302603.0,Manaus,13.0,AM,478.91694809255785,503.2974754420432,505.1137917485266,509.59355847404623,564.5461689587427
112,1302702.0,Manicoré,13.0,AM,443.4053435114504,456.8830882352941,453.4522058823529,443.11908396946563,462.20588235294116
113,1302801.0,Maraã,13.0,AM,428.47457627118644,443.50166666666667,443.3816666666667,415.70847457627116,339.3333333333333
114,1302900.0,Maués,13.0,AM,444.23214285714283,463.30827586206897,463.92758620689654,453.1414285714286,475.7241379310345
115,1303007.0,Nhamundá,13.0,AM,448.3759036144578,451.20813953488374,449.6616279069768,432.9590361445783,503.95348837209303
116,1303106.0,Nova Olinda do Norte,13.0,AM,448.7608108108108,447.84250000000003,453.3125,450.38108108108105,484.5
117,1303205.0,Novo Airão,13.0,AM,425.24375,479.2985074626866,481.6910447761194,428.8203125,608.955223880597
118,1303304.0,Novo Aripuanã,13.0,AM,419.3602739726027,442.77142857142854,443.97999999999996,424.14383561643837,438.85714285714283
119,1303403.0,Parintins,13.0,AM,454.0323529411765,482.1133116883117,472.17045454545456,459.8615916955017,492.2402597402597
120,1303502.0,Pauini,13.0,AM,441.412,450.43461538461537,463.25,433.272,445.38461538461536
121,1303536.0,Presidente Figueiredo,13.0,AM,471.17864077669907,481.5099099099099,478.84774774774775,459.56699029126213,546.6666666666666
122,1303569.0,Rio Preto da Eva,13.0,AM,444.9056818181818,475.84444444444443,480.08,450.4681818181818,498.22222222222223
123,1303601.0,Santa Isabel do Rio Negro,13.0,AM,443.42068965517245,477.29285714285714,487.125,419.7137931034483,465.0
124,1303700.0,Santo Antônio do Içá,13.0,AM,420.2263157894737,450.1885245901639,451.9590163934426,428.980701754386,449.1803278688525
125,1303809.0,São Gabriel da Cachoeira,13.0,AM,433.75378151260503,472.1880733944954,465.2522935779817,448.3873949579832,505.13761467889907
126,1303908.0,São Paulo de Olivença,13.0,AM,417.77272727272725,450.60714285714283,431.67448979591836,419.4343434343434,468.7755102040816
127,1303957.0,São Sebastião do Uatumã,13.0,AM,416.4888888888889,434.215625,450.5375,407.06,411.25
128,1304005.0,Silves,13.0,AM,428.46578947368425,452.21000000000004,441.355,429.928947368421,386.5
